genre,year,original_title
Action,2020,64
Adventure,2020,14
Animation,2020,11
Biography,2020,6
Comedy,2020,57
Crime,2020,15
Family,2020,1
Fantasy,2020,2
Horror,2020,37
Sci-Fi,2020,6
Action,2019,109
Adventure,2019,25
Animation,2019,22
Biography,2019,20
Comedy,2019,180
Crime,2019,43
Family,2019,8
Fantasy,2019,9
Horror,2019,101
Sci-Fi,2019,10
Action,2018,150
Adventure,2018,25
Animation,2018,17
Biography,2018,28
Comedy,2018,223
Crime,2018,43
Family,2018,11
Fantasy,2018,12
Horror,2018,144
Sci-Fi,2018,9
Action,2017,142
Adventure,2017,33
Animation,2017,19
Biography,2017,25
Comedy,2017,229
Crime,2017,66
Family,2017,12
Fantasy,2017,9
Horror,2017,151
Sci-Fi,2017,11
Action,2016,173
Adventure,2016,25
Animation,2016,21
Biography,2016,27
Comedy,2016,235
Crime,2016,58
Family,2016,12
Fantasy,2016,9
Horror,2016,129
Sci-Fi,2016,13
Action,2015,133
Adventure,2015,24
Animation,2015,22
Biography,2015,23
Comedy,2015,223
Crime,2015,46
Family,2015,27
Fantasy,2015,9
Horror,2015,126
Sci-Fi,2015,3
Action,2014,133
Adventure,2014,21
Animation,2014,21
Biography,2014,25
Comedy,2014,250
Crime,2014,49
Family,2014,7
Fantasy,2014,13
Horror,2014,138
Sci-Fi,2014,5
Action,2013,152
Adventure,2013,31
Animation,2013,19
Biography,2013,24
Comedy,2013,221
Crime,2013,48
Family,2013,7
Fantasy,2013,7
Horror,2013,129
Sci-Fi,2013,7
Action,2012,124
Adventure,2012,19
Animation,2012,26
Biography,2012,16
Comedy,2012,249
Crime,2012,38
Family,2012,7
Fantasy,2012,7
Horror,2012,103
Sci-Fi,2012,9
Action,2011,114
Adventure,2011,22
Animation,2011,20
Biography,2011,9
Comedy,2011,204
Crime,2011,39
Family,2011,2
Fantasy,2011,6
Horror,2011,98
Sci-Fi,2011,7
Action,2010,116
Adventure,2010,17
Animation,2010,18
Biography,2010,14
Comedy,2010,184
Crime,2010,33
Family,2010,5
Fantasy,2010,5
Horror,2010,79
Sci-Fi,2010,7
